NaN	word	sent1	sent2	mean	annotator1	annotator2	annotator3
16	авторитет	Вдохновенная Богом Церковь для западного христианина сделалась чем-то внешним, каким-то прорицательным <b><i>авторитетом</i></b>, <b><i>авторитетом</i></b> как бы вещественным: она обратила человека себе в раба и, вследствие этого, нажила себе в нем судью.	Мужик он сильный, в <b><i>авторитете</i></b>.	2.6666666666666665	3	1	4
17	авторитет	Под тридцать лет сделался для этих господ театралом и не пропускал ни одного балета, неразлучно обедал и ужинал с ними в ресторанах и для укрепления своего <b><i>авторитета</i></b> даже пил вместе с ними, хотя не чувствовал никогда к вину ни малейшего расположения.	А криминальный <b><i>авторитет</i></b> типа общеизвестного Антибиотика у нас в городе есть А где их нет Но эта тема для работы силовых структур, а не для газеты.	1.0	1	1	1
18	авторитет	Существование в России сильной либеральной партии, могущей быть опасной для правительства -- чистая выдумка, которая родилась после Венского конгресса, утвердилась в правительстве в течение минувшего царствования и поддерживается умышленно: людьми либерального образа мыслей -- чтобы придать своему мнению некоторый <b><i>авторитет</i></b> и похвастаться перед иностранцами; нашими чиновниками и сановниками -- чтобы удобнее и легче удержать государей в своих руках с помощью пугала, называемого революцией, и отклонять их от всяких полезных для народа, но вредных для бюрократии нововведений.	А главное, в последнее время явно стал падать <b><i>авторитет</i></b> участковых инспекторов, появилась неудовлетворенность службой, ее результатами.	3.3333333333333335	4	4	2
19	авторитет	<b><i>Авторитетов</i></b> много.	В поисках <b><i>авторитета</i></b>.	3.6666666666666665	4	3	4
20	авторитет	Что же касается иереев, то зачем им еще эти жалкие крупинки, когда в их руках такие могучие средства, как вера и таинство Слова о. Иоанна Кронштадского не могут быть рекомендацией для гомеопатии (в этой области он не <b><i>авторитет</i></b>), но его светлая личность -- яркий пример для каждого иерея, чего можно достигнуть верой и молитвой!..	Пользовался большим <b><i>авторитетом</i></b> в войсках. ...командующий Черноморским флотом адмирал Эдуард Балтин.	3.6666666666666665	3	4	4
21	авторитет	Позже, уже перед самым отъездом, Кузьминский затеял очень наивно со Л.Н. спор о праве, защищая уголовное право и ссылаясь на <b><i>авторитет</i></b> профессора Сергеевского, мысли которого передавал крайне неясно.	Однако же пока не приказала, и ее <b><i>авторитет</i></b> потихоньку растет.	4.0	4	4	4
22	авторитет	Вы сказали кроме того, что мы не пользуемся <b><i>авторитетом</i></b> у младшего курса.	Совместными усилиями они привлекли к сотрудничеству крупного <b><i>авторитета</i></b> по доводке автомобильных моторов и специалиста по роторным нагнетателям типа Roots Марри Джеймисона.	1.0	1	1	1
23	авторитет	"Вследствие этого его <b><i>авторитет</i></b> упал, и Акатов ""показывал"" его для развлечения публики."	Если надежда не осуществима, то наступит разочарование и агрессивная энергия нереализованных ожиданий может подорвать любой реальный <b><i>авторитет</i></b>.	4.0	4	4	4
24	авторитет	Высокие добродетели слепой, безумной преданности, безусловного доверия к <b><i>авторитетам</i></b>, безотчетной веры в чужое слово становятся все реже и реже; мертвенное подчинение всего своего существа известной формальной программе -- и в ордене иезуитов осталось уже едва ли не на бумаге только.	"Имеется в виду не медицинское здоровье, а благополучие, сила, общественное положение, <b><i>авторитет</i></b>; формула практически означает ""с полномочиями от вас""."	2.6666666666666665	2	2	4
25	авторитет	Вышло, что научные истины мы превращали в догматы, научные <b><i>авторитеты</i></b> становились для нас фетишами, храм наук сделался для нас капищем научных суеверий и предрассудков.	А вы знаете, с другой стороны, каким <b><i>авторитетом</i></b> пользуется слово Горького у нас в стране и далеко за ее пределами, каким влиянием он пользуется и как много вреда он может сделать своим словом нашему движению.	3.3333333333333335	4	3	3
26	авторитет	Порода эта, столь резко отличающаяся от обыкновенного павлина, что Склэтер, <b><i>авторитет</i></b> в орнитологии, отнес ее к особому виду, появляется внезапно в стаде обыкновенных павлинов.	После окончания учебы бесспорным для меня <b><i>авторитетом</i></b> в музыке был Менухин.	4.0	4	4	4
27	авторитет	В то время им и в голову не приходило, что они-то, стоящие на недосягаемой высоте академического <b><i>авторитета</i></b>, они-то, собственно, и были побеждены, свержены с пьедестала, что с этого рокового выхода из Академии молодых художественных сил значение их было подорвано и уничтожено навсегда.	Благодаря высокому <b><i>авторитету</i></b> среди студентов и преподавателей, его уже на втором курсе избрали председателем университетского профкома и депутатом горсовета Нальчика, а после вступления в партию -- членом Кабардино-Балкарского обкома КПСС.	3.3333333333333335	4	4	2
28	авторитет	"<b><i>Авторитет</i></b> этот был далеко не силен, а строгость вбила ""дурь"" только еще глубже, а не выбила наружу."	Ее <b><i>авторитет</i></b> был настолько высок, что многие женщины, читая ее романы и слушая ее рассуждения в обществе, совершенно серьезно считали, что в стране вот-вот произойдет изменение брачного законодательства в сторону официализации свободной любви.	4.0	4	4	4
29	авторитет	Церковь-государство может, если ей заблагорассудится, пожаловать некоторые права гражданства бывшим своим восточным братьям, которых она же некогда объявила илотами в области веры; она может дать им эти права в награду за смиренное их подчинение <b><i>авторитету</i></b> папы, не требуя от них единства веры, выраженной в символе.	А вдруг в Вену, как в былые времена на подмосковную дачу, съезжались какие-то <b><i>авторитеты</i></b> и воротилы Вдруг они решили провести сходку-совещание-разборку-дележку в комфортабельных европейских гостиницах Надо проверить список еще раз.	1.3333333333333333	1	1	2
30	амбиция	-- И ушла я, рассерженная, что вечер пропал даром; да и обидно мне было, что он такой бесчувственный: ведь тоже своя <b><i>амбиция</i></b> у нас в этом.	Хотя, конечно же, можно было бы согласиться с распространенным мнением, что все дело в политических <b><i>амбициях</i></b> главы ЮКОСа Михаила Ходорковского.	4.0	4	4	4
31	амбиция	И насчет его опять есть фортель: <b><i>амбицию</i></b> большую имеет!	Пошла новая игра <b><i>амбиций</i></b>, не предвещающая ничего хорошего.	3.6666666666666665	4	3	4
32	амбиция	Ты, Ульяна Митревна, уж снисходи ко мне, -- пожалей маленько, если при людях, в таком разе, нагрублю тебе, не взыщи: не я грублю, <b><i>амбиция</i></b> грубит.	Эта маленькая доза агрессии есть у всех, кто движется вперед, к чему-то стремится, у кого есть какие-то <b><i>амбиции</i></b>.	3.3333333333333335	4	2	4
33	амбиция	А отчего же так и будет по-прежнему А оттого, что уж у бедного человека, по-ихнему, все наизнанку должно быть; что уж у него ничего не должно быть заветного, там <b><i>амбиции</i></b> какой-нибудь ни-ни-ни!	Теперь же личные <b><i>амбиции</i></b> отодвинуты на второй план.	3.3333333333333335	4	4	2
34	амбиция	Вот тебе и <b><i>амбиция</i></b>, подлец ты этакой, вот и <b><i>амбиция</i></b>!..	Из негармоничных факторов -- склонность к необдуманным поступкам, скоропалительным решениям, необузданным финансовым <b><i>амбициям</i></b>.	2.6666666666666665	3	1	4
35	амбиция	"Сначала сам добивался от Сонечки, а тут и в <b><i>амбицию</i></b> вдруг вошли: ""Как, дескать, я, такой просвещенный человек, в одной квартире с таковскою буду жить"" А Катерина Ивановна не спустила, вступилась."	Первый представлен интересами силовиков, которые готовы освободить Лебедева на условиях отказа Ходорковского от политических <b><i>амбиций</i></b> и ограничения своей деятельности рамками существующего у него бизнеса.	1.6666666666666667	1	3	1
36	амбиция	Тоже свою <b><i>амбицию</i></b> соблюдает.	"Путин европейские <b><i>амбиции</i></b> поддержал, но с поправкой: ""Европа укрепит свой авторитет мощного и самостоятельного центра мировой политики, если она соединит свои усилия с российскими возможностями""."	3.6666666666666665	4	3	4
37	амбиция	Из-за такого неважного недосмотра смешно вламываться в какую-то авторскую <b><i>амбицию</i></b>.	"А там знаешь сколько симпатичных девчонок У них <b><i>амбиции</i></b>, ноги и ни капли стыда!"""	4.0	4	4	4
38	амбиция	У другого еще и губы не обсохли, а уж <b><i>амбицию</i></b> показывает.	Такая российская актуалия, как самостоятельность регионов (порой замешанная на сепаратистских <b><i>амбициях</i></b> и сопряженная с отказом от обязательных отчислений в госбюджет, установлением таможенных постов на границах областей и т.д.), продуцирует коррупцию местнического толка.	2.3333333333333335	1	3	3
39	амбиция	Положим, он более всего действовал ради удовлетворения своей <b><i>амбиции</i></b>, но ведь <b><i>амбиция-то</i></b> хорошая.	А еще -- подальше задвинуть личные <b><i>амбиции</i></b>.	4.0	4	4	4
40	амбиция	Ну, есть, действительно есть одно щекотливое обстоятельство, -- да ведь оно не беда: оно не может замарать человека, <b><i>амбицию</i></b> его запятнать и карьеру его загубить, когда не виноват человек, когда сама природа сюда замешалась.	Другой вопрос: у Сталина и некоторых людей из его окружения уже тогда могли играть зловещую роль имперские <b><i>амбиции</i></b>, чуждые декларируемым принципам социализма.	3.0	4	1	4
41	амбиция	"Вот голь и лохмотья нищей братии да беспардонных пьяниц-пропойц; виц-мундир, либо красный воротник небритого оборвыша чиновника да выгнанного офицера, которые ""свою <b><i>амбицию</i></b> наблюдают"" и по этому случаю все стараются держаться поближе к синим чуйкам, вроде загулявших до последнего безобразия артельщиков, которые, в свою очередь, взирают на них с нескрываемым насмешливым презрением, и все ублажают: ""Покажи ты нам, братец, какой ни на есть фортель, а мы тебе за это пару вина предоставим""."	Здесь нет <b><i>амбиций</i></b> кассового успеха, здесь другая стратегия -- выдавать себя за искусство.	2.6666666666666665	2	3	3
42	амбиция	Шляхтичи теперь там потому только и ломаются, что у них больно много <b><i>амбиции</i></b>.	Личные <b><i>амбиции</i></b> не полезны: каждая женщина знает, что пока галантерейщик идет брать Бастилию, братья по оружию идут брать его галантерею.	3.6666666666666665	3	4	4
43	амбиция	Сошлось много народу смотреть, как она будет плакать и за гробом идти; тогда пастор, -- он еще был молодой человек, и вся его <b><i>амбиция</i></b> была сделаться большим проповедником, -- обратился ко всем и указал на Мари.	В результате -- если пришлось бы признать все заявленные <b><i>амбиции</i></b>, то бревно измерялось по меньшей мере двумя километрами.	4.0	4	4	4
44	амбиция	Нет ли у вас, Юлия Карловна, знакомого какого-нибудь чиновника, мне нужен стряпчий, только, знаете, недорогого, потому что дело грошовое, из одной <b><i>амбиции</i></b> тягаюсь, уступить не хочется.	Но то, что нашим олигархам стоит убавить свои <b><i>амбиции</i></b>, -- несомненно. P.S.	4.0	4	4	4
45	амбиция	Он вошел в <b><i>амбицию</i></b> и уже по своей ограниченности сейчас же заговорил об отставке, без сомнения, для него вовсе нежелательной.	Потеря Кириленко и провал на первом этапе до максимума приземлили <b><i>амбиции</i></b> сборной России: выплескивать себя в матче против США ради мизерных шансов на успех она явно не собиралась -- ведь следом идут игры с Китаем и Германией, где выигрывать необходимо во что бы то ни стало.	3.0	1	4	4
46	амбиция	На грош муниции, а на рупь <b><i>амбиции</i></b>!	Не важно, по каким причинам -- желая приблизиться к Богу, из необходимости экономить территорию или чтобы удовлетворить <b><i>амбиции</i></b> крупных компаний и архитекторов -- небоскребы строили, строят и будут строить.	4.0	4	4	4
47	амбиция	А то что было тогда обижать меня, Варенька, купно со врагами моими, на честь и <b><i>амбицию</i></b> честного человека посягающими!	<b><i>Амбиций</i></b> у пишущей явно больше, чем могут вместить десять-пятнадцать строк.	4.0	4	4	4
48	амбиция	Не до <b><i>амбиции</i></b>.	Потому что безошибочный критерий провинциальности -- это судьба необычных людей с бешеной энергетикой и <b><i>амбициями</i></b>.	3.6666666666666665	4	4	3
49	амбиция	О, какое ему дело теперь до собственной подлости, до всех этих <b><i>амбиций</i></b>, поручиков, немок, взысканий, контор и проч., и проч.!	В конце концов его творческие надежды и <b><i>амбиции</i></b> сосредоточиваются в одной точке, в общем, той же самой, с которой все начиналось.	4.0	4	4	4
50	амбиция	Зубов говорит, что ему на такой шаг решиться при их отношениях неприлично, не позволяет <b><i>амбиция</i></b>.	Павел Николаевич усмехнулся: дорвись эти ребята с их реальным уровнем <b><i>амбиций</i></b> и непрофессионализма до реальной власти, и города вымрут -- просто околеют от холода, голода и безводья.	3.6666666666666665	4	3	4
51	амбиция	-- Так что ж нам трынка-то важность, что ли -- вломился вдруг в <b><i>амбицию</i></b> солдат.	В этом смысле вся внешняя политика России на ближайшие годы сводится к тому, чтобы пресмыкаться максимально элегантно, а свои <b><i>амбиции</i></b> направить на преодоление собственной разрухи.	2.6666666666666665	4	3	1
52	амбиция	-- Могли, значит, кроме его, еще и другие лица видеть -- мелочной сиделец, например, -- и ежели на повальном обыске окажется, что точно заприметили этих шведочек, то, я вам доложу-с, -- для вашей <b><i>амбиции</i></b> мораль подозрительная может произойти.	Зато <b><i>амбиций</i></b> невпроворот -- всем ведомо, как оседлать медведя.	2.3333333333333335	2	1	4
53	амбиция	Но майорская дочь Чечеткина, не видавши Кати в лицо, с особенной злобой отзывалась, что одни холоденские неотесанные дуры могут найти в ней что-нибудь хорошее; <b><i>амбиции</i></b> вовсе не имеют, унижаются перед дочерью соляного пристава.	"Многим ""гигантам"" этого ""синтетического"" жанра уже тесновато в рамках чисто прикладного танцевального брейк-бита, и их растущие <b><i>амбиции</i></b> распространяются дальше -- в кинематограф и в крупно бюджетную ""попсу высоких достижений"" (читай -- гонораров)."	4.0	4	4	4
54	амбиция	И она представила в лицах (да как похоже!) жеманную физию Лизы, которая имела глупость войти в <b><i>амбицию</i></b> и обижаться выражениями m-lle Blanche.	Недовольство в русских городах и собственные <b><i>амбиции</i></b> подвигают Владислава, которому во время Семибоярщины успели присягнуть на верность многие русские города, в 1617-м пойти на Москву, чтобы отвоевать трон у Михаила, который, как он считал, ему принадлежит по праву принесенной ему всенародной присяги.	2.6666666666666665	3	3	2
55	амбиция	"Сведения некоторых заходили так далеко, что они утверждали, будто бы Бонапарт в <b><i>амбицию</i></b> вломился за то, что наш царь с ним породниться не захотел, а написал ему: ""Ты, любезный друг, управляйся как знаешь со своими голоштанными французами, а в мои хрестьянские дела не мешайся""."	"Для того чтобы не дать главе ЮКОСа собрать ""контрольный пакет"" в Госдуме-2004, теоретически власти могли дать санкцию изолировать Лебедева либо до конца предвыборной кампании, либо до тех пор, пока старший партнер главы в МФО ""МЕНАТЕП"" не умерит политических <b><i>амбиций</i></b>."	2.6666666666666665	3	4	1
56	амбиция	<b><i>Амбиция</i></b> господина Зеленькова смягчилась: он почувствовал даже некоторую всепрощающую теплоту относительно Фомушки.	Ею занимаются профессионалы, и у каждого из них <b><i>амбиции</i></b> создать свой закон или, на худой конец, поправку к нему, так, чтобы в следующий раз не могла возникнуть ситуация, на которую бы не нашлось подобающего закона.	3.3333333333333335	3	3	4
57	амбиция	Погибаешь, ветошке подобишься, так ведь нет же, туда же с <b><i>амбицией</i></b>, дескать, честь моя страждет, дескать, честь тебе свою нужно спасать!	"Переход главы ""Газпрома"" Алексея Миллера на сторону Муртазы Рахимова (за весьма зыбкие обещания передать значительную часть нефтехимического комплекса республики ""Газпрому"") ставит крест на политических <b><i>амбициях</i></b> братьев Веремеенко."	2.6666666666666665	4	1	3
58	амбиция	Расскакался, дуралей, я с <b><i>амбицией</i></b>!	<b><i>Амбиций</i></b> у этой леди хватит на целый курс выпускников Вест Пойнта.	3.6666666666666665	4	3	4
59	амбиция	Новый родитель мой женился на ней для поддержания своей <b><i>амбиции</i></b>, что у меня-де жена дворянка и много родных, все благородные.	И, при колоссальных своих <b><i>амбициях</i></b>, не позволял себе ни актерских, ни литературных опытов.	3.6666666666666665	4	3	4
60	апостол	Ему, как какому-то <b><i>апостолу</i></b> отрицания, пришлось разыграть в сфере критики и публицистики то же самое, что, другими способами и приемами, разыграл в искусстве Гоголь и что, иначе уже, конечно, продолжало потом и продолжает разыгрываться или доигрываться почти всеми литературными деятелями до сих пор.	Собственно в этом и есть главное предупреждение Апокалипсиса <b><i>апостола</i></b> Иоанна.	2.3333333333333335	2	2	3
61	апостол	Вспомните, что <b><i>апостол</i></b> Павел был Савлом.	"Осенью 1863 года Бакунин уже в Италии, вступает в контакты с Джузеппе Гарибальди и ведёт интенсивную работу, выступая в качестве ""<b><i>апостола</i></b> анархии"", борясь за ""великий принцип свободы, достоинства и прав человека""."	1.3333333333333333	1	1	2
62	апостол	"Вспомните, что говорит <b><i>апостол</i></b> Лука: ""Но вы любите врагов ваших и благотворите и взаймы давайте, ничего не ожидая; и будет вам награда великая, и вы будете сынами Всевышняго: ибо Он благ и к неблагодарным и злым""."	"Напоминаю откровение <b><i>апостола</i></b> Петра: ""Словно только что рожденные младенцы, полюбите чистое молоко слова, дабы от него возросли вы ради спасения""."	4.0	4	4	4
63	апостол	И хотя сие их для власти и сребролюбия умышленное, яко всем видимое коварство толковать непотребно, но токмо то дивно, как оной архиерей такую тяжкую хулу на письмо святое произнести дерзнул, якобы бог умысленно закон темен и невразумителен предал, не видя и не разумея или не хотя разуметь, что пророки и <b><i>апостолы</i></b> оный светом, просвещением и вразумлением младенцев именуют.	"Смиренно воспринимая преемственную <b><i>апостольскую</i></b> благодать, сознаю высоту и ответственность предстоящего архипастырского труда, названного святым <b><i>апостолом</i></b> Павлом делом ""домостроительства Божия"" (Тит. 1, 7)."	4.0	4	4	4
64	апостол	"В другой раз на второе запрещение Пётр вместе с другими <b><i>апостолами</i></b> (значит, это голос всех <b><i>апостолов</i></b>) сказал ещё яснее и резче: ""Должно повиноваться больше Богу, нежели человекам"" (Деян."	Выступая в Ареопаге, <b><i>апостол</i></b> Павел насыщает свою речь цитатами из гимнов языческим богам.	4.0	4	4	4
65	апостол	Декарт, Шеллинг, Ницше повествуют о своих превращениях, у нас Толстой и Достоевский -- о своих, в прошлом менее отдаленном -- Магомет и ап.	В отличие от диатриб, предназначавшихся для устного общения, Послания <b><i>апостола</i></b> Павла -- памятники письменной речи.	4.0	4	4	nan
66	апостол	Таким образом, легендарное предание об <b><i>апостоле</i></b> Андрее одно из древнейших на Руси, основанное на чествовании гор, объясняется старинным обычаем, доселе наблюдаемым в Болгарии.	29 ноября, в Неделю 25-ю по Пятидесятнице и день памяти святого <b><i>апостола</i></b> и евангелиста Матфея, Святейший Патриарх Московский и всея Руси Кирилл совершил Божественную литургию в кафедральном соборном Храме Христа Спасителя.	4.0	4	4	4
67	апостол	"<b><i>Апостол</i></b> с золотой цепью заметил это и, приняв торжественный вид, сказал ему: ""Подумайте, молодой человек -- через несколько часов вы будете не мне отвечать, а богу""."	И <b><i>Апостолы</i></b> увещевают:.	2.6666666666666665	1	4	3
