lemma	grouping	nodes	nodes1	nodes2	EARLIER	LATER	COMPARE
углеводород	1700-1916_1918-1990	60	30	30	nan	nan	3.8
удобство	1700-1916_1918-1990	60	30	30	nan	nan	2.466666666666667
уклад	1700-1916_1918-1990	60	30	30	nan	nan	3.5
университет	1700-1916_1918-1990	60	30	30	nan	nan	3.6666666666666665
установление	1700-1916_1918-1990	60	30	30	nan	nan	2.3
фаворит	1700-1916_1918-1990	60	30	30	nan	nan	3.2
формат	1700-1916_1918-1990	60	30	30	nan	nan	2.85
формула	1700-1916_1918-1990	60	30	30	nan	nan	2.8666666666666667
хозяйка	1700-1916_1918-1990	60	30	30	nan	nan	3.3
хор	1700-1916_1918-1990	60	30	30	nan	nan	2.8
хрен	1700-1916_1918-1990	60	30	30	nan	nan	1.8333333333333333
цензура	1700-1916_1918-1990	60	30	30	nan	nan	3.7333333333333334
центр	1700-1916_1918-1990	60	30	30	nan	nan	1.9666666666666666
цифра	1700-1916_1918-1990	60	30	30	nan	nan	2.9
частица	1700-1916_1918-1990	60	30	30	nan	nan	1.9
чек	1700-1916_1918-1990	60	30	30	nan	nan	2.466666666666667
четверть	1700-1916_1918-1990	60	30	30	nan	nan	2.3666666666666667
штаб	1700-1916_1918-1990	60	30	30	nan	nan	3.8
эшелон	1700-1916_1918-1990	60	30	30	nan	nan	3.0
юбилей	1700-1916_1918-1990	60	30	30	nan	nan	3.8
ядро	1700-1916_1918-1990	60	30	30	nan	nan	1.5333333333333334
ясли	1700-1916_1918-1990	60	30	30	nan	nan	2.2666666666666666
